Doctor_Name,Address,Phone_Number,Description,Time_Open,Time_Close,Specialist
Dr. John Smith,123 Health St Springfield - IL 62701,(555) 123-4567,Specialist in drug reactions, 8:00 AM, 5:00 PM,Toxicologist
Dr. Emily Jones,456 Clinic Ave Springfield - IL 62702,(555) 234-5678,Expert in malaria treatment, 9:00 AM, 6:00 PM,Infectious Disease Specialist
Dr. Sarah Lee,789 Wellness Blvd Springfield - IL 62703,(555) 345-6789,Allergy and immunology specialist, 8:00 AM, 4:00 PM,Allergist/Immunologist
Dr. Michael Brown,321 Endocrine Rd Springfield - IL 62704,(555) 456-7890,Endocrinologist for thyroid issues, 9:00 AM, 5:00 PM,Endocrinologist
Dr. Laura Davis,654 Skin Care Dr Springfield - IL 62705,(555) 567-8901,Dermatologist specializing in psoriasis, 8:30 AM, 5:00 PM,Dermatologist
Dr. James Wilson,987 Digestive Ln Springfield - IL 62706,(555) 678-9012,Expert in GERD and chronic cholestasis, 8:00 AM, 4:30 PM,Gastroenterologist
Dr. Anna Martinez,159 Liver St Springfield - IL 62707,(555) 789-0123,Hepatologist specializing in hepatitis A, 9:00 AM, 5:00 PM,Hepatologist
Dr. Robert Clark,753 Joint Rd Springfield - IL 62708,(555) 890-1234,Rheumatologist for osteoarthritis, 8:00 AM, 4:00 PM,Rheumatologist
Dr. Megan Allen,852 Balance Blvd Springfield - IL 62709,(555) 901-2345,Otolaryngologist for vertigo issues, 8:00 AM, 5:00 PM,Otolaryngologist
Dr. David Wright,951 Sugar St Springfield - IL 62710,(555) 012-3456,Endocrinologist for hypoglycemia, 9:00 AM, 6:00 PM,Endocrinologist
Dr. Karen Harris,135 Acne St Springfield - IL 62711,(555) 123-6789,Dermatologist for acne treatment, 9:00 AM, 5:00 PM,Dermatologist
Dr. Jennifer Lewis,246 Diabetes Dr Springfield - IL 62712,(555) 234-7890,Endocrinologist specializing in diabetes, 8:00 AM, 4:00 PM,Endocrinologist
Dr. Brian Walker,357 Skin Care Ln Springfield - IL 62713,(555) 345-8901,Dermatologist for impetigo, 9:00 AM, 5:00 PM,Dermatologist
Dr. Susan Young,468 Heart Rd Springfield - IL 62714,(555) 456-9012,Cardiologist for hypertension, 8:00 AM, 4:30 PM,Cardiologist
Dr. Kevin Scott,579 Ulcer Ave Springfield - IL 62715,(555) 567-0123,Gastroenterologist for peptic ulcers, 8:00 AM, 5:00 PM,Gastroenterologist
Dr. Michelle Adams,680 Hemorrhoid St Springfield - IL 62716,(555) 678-1234,Proctologist specializing in hemorrhoids, 9:00 AM, 4:00 PM,Proctologist
Dr. Joshua Taylor,791 Cold St Springfield - IL 62717,(555) 789-2345,General practitioner for common cold, 8:00 AM, 4:00 PM,General Practitioner
Dr. Olivia Thompson,902 Pediatric Dr Springfield - IL 62718,(555) 890-3456,Pediatrician for chicken pox, 9:00 AM, 5:00 PM,Pediatrician
Dr. Daniel White,113 Spine Rd Springfield - IL 62719,(555) 901-4567,Orthopedic specialist for cervical spondylosis, 8:30 AM, 5:00 PM,Orthopedic Specialist
Dr. Rachel Harris,224 Thyroid Blvd Springfield - IL 62720,(555) 012-5678,Endocrinologist for hyperthyroidism, 9:00 AM, 4:00 PM,Endocrinologist
Dr. Steven Nelson,335 UTI Ave Springfield - IL 62721,(555) 123-8901,Urologist for urinary tract infections, 8:00 AM, 5:00 PM,Urologist
Dr. Laura King,446 Vein St Springfield - IL 62722,(555) 234-9012,Vascular surgeon for varicose veins, 9:00 AM, 4:30 PM,Vascular Surgeon
Dr. Richard Moore,557 HIV Dr Springfield - IL 62723,(555) 345-0123,Infectious disease specialist for AIDS, 8:00 AM, 5:00 PM,Infectious Disease Specialist
Dr. Emily Johnson,668 Brain Rd Springfield - IL 62724,(555) 456-1234,Neurologist for brain hemorrhage, 9:00 AM, 5:00 PM,Neurologist
Dr. Christopher Lewis,779 Fever St Springfield - IL 62725,(555) 567-2345,Infectious disease specialist for typhoid, 8:00 AM, 4:00 PM,Infectious Disease Specialist
Dr. Nicole Brown,880 Liver Care Ln Springfield - IL 62726,(555) 678-3456,Hepatologist for hepatitis B, 9:00 AM, 6:00 PM,Hepatologist
Dr. George Green,991 Fungal Blvd Springfield - IL 62727,(555) 789-4567,Dermatologist for fungal infections, 8:00 AM, 4:00 PM,Dermatologist
Dr. Angela Baker,102 Hepatitis St Springfield - IL 62728,(555) 890-5678,Hepatologist for hepatitis C, 9:00 AM, 5:00 PM,Hepatologist
Dr. Karen Cooper,213 Migraine Dr Springfield - IL 62729,(555) 901-6789,Neurologist for migraines, 8:00 AM, 5:00 PM,Neurologist
Dr. Samuel Phillips,324 Asthma Ave Springfield - IL 62730,(555) 012-7890,Pulmonologist for bronchial asthma, 8:30 AM, 4:30 PM,Pulmonologist
Dr. Laura Martinez,435 Alcohol St Springfield - IL 62731,(555) 123-9012,Hepatologist for alcoholic hepatitis, 9:00 AM, 6:00 PM,Hepatologist
Dr. Paul Clark,546 Jaundice Blvd Springfield - IL 62732,(555) 234-0123,Hepatologist for jaundice, 8:00 AM, 5:00 PM,Hepatologist
Dr. Susan White,657 Hepatitis E Rd Springfield - IL 62733,(555) 345-1234,Hepatologist for hepatitis E, 9:00 AM, 4:00 PM,Hepatologist
Dr. Megan Scott,768 Dengue Dr Springfield - IL 62734,(555) 456-2345,Infectious disease specialist for dengue, 8:00 AM, 5:00 PM,Infectious Disease Specialist
Dr. Matthew Harris,879 Hepatitis D Ave - Springfield - IL 62735,(555) 567-3456,Hepatologist for hepatitis D, 9:00 AM, 6:00 PM,Hepatologist
Dr. Jessica Lewis,980 Heart Attack Ln - Springfield - IL 62736,(555) 678-4567,Cardiologist for heart attack, 8:30 AM, 5:00 PM,Cardiologist
Dr. Anthony Martinez,109 Pneumonia Rd - Springfield - IL 62737,(555) 789-5678,Pulmonologist for pneumonia, 9:00 AM, 4:00 PM,Pulmonologist
Dr. Karen Lewis,210 Arthritis Ave - Springfield - IL 62738,(555) 890-6789,Rheumatologist for arthritis, 8:00 AM, 5:00 PM,Rheumatologist
Dr. Brian Young,321 Gastroenteritis Blvd - Springfield - IL 62739,(555) 901-7890,Gastroenterologist for gastroenteritis, 9:00 AM, 4:00 PM,Gastroenterologist
Dr. Patricia King,432 TB St - Springfield - IL 62740,(555) 012-8901,Infectious disease specialist for tuberculosis, 8:00 AM, 4:00 PM,Infectious Disease Specialist

